Indice,Fecha,ID_aerolinea,Matricula,Num_vuelo,ID_Origgen_Seq,Origen,ID_Destino_Seq,Destino,Hora_salida,Retraso_Salida,Hora_llegada,Retraso_llegada,Retraso_Clima
228,08/01/2018,19805,N951NN,2516,1072102,BOS,1393006,ORD,855,-4,1027,-28,4.030194512
229,08/01/2018,19805,N159AN,2517,1129806,DFW,1320402,MCO,1653,-1,2101,27,0
230,08/01/2018,19805,N154AA,2518,1042302,AUS,1129806,DFW,609,-7,704,-22,4.030194512
231,08/01/2018,19805,N913NN,2520,1129806,DFW,1393006,ORD,1826,6,2106,16,0
232,08/01/2018,19805,N928NN,2521,1295304,LGA,1129806,DFW,1029,-1,1327,-5,4.030194512
233,08/01/2018,19805,N930AN,2522,1247805,JFK,1474703,SEA,1739,14,2117,14,4.030194512
234,08/01/2018,19805,N831NN,2523,1393006,ORD,1105703,CLT,542,-7,827,-18,4.030194512
235,08/01/2018,19805,N190AA,2524,1330303,MIA,1129806,DFW,1923,33,2144,50,0
236,08/01/2018,19805,N886NN,2525,1320402,MCO,1410005,PHL,2043,73,2322,77,24
237,08/01/2018,19805,N156AN,2526,1288903,LAS,1129806,DFW,116,-4,539,-24,4.030194512
238,08/01/2018,19805,N997NN,2527,1072102,BOS,1129806,DFW,459,-1,759,-11,4.030194512
239,08/01/2018,19805,N156AN,2528,1129806,DFW,1405702,PDX,1747,47,1940,46,0
240,08/01/2018,19805,N964AN,2530,1288903,LAS,1289208,LAX,659,-1,821,-5,4.030194512
241,08/01/2018,19805,N815NN,2531,1129806,DFW,1071302,BOI,2219,9,50,29,0
242,08/01/2018,19805,N165NN,2532,1289208,LAX,1127805,DCA,1301,1,2058,-16,4.030194512
243,08/01/2018,19805,N918AN,2533,1393006,ORD,1161802,EWR,2247,47,150,51,0
244,08/01/2018,19805,N879NN,2534,1071302,BOI,1129806,DFW,717,0,1103,-21,4.030194512
245,08/01/2018,19805,N157AA,2535,1467903,SAN,1129806,DFW,621,-2,1132,-5,4.030194512
246,08/01/2018,19805,N967TW,2536,1129806,DFW,1349505,MSY,1450,59,1608,53,0
247,08/01/2018,19805,N967TW,2536,1349505,MSY,1129806,DFW,1631,32,1802,23,0
248,08/01/2018,19805,N876NN,2537,1082106,BWI,1330303,MIA,1156,2,1436,-3,4.030194512
249,08/01/2018,19805,N876NN,2537,1330303,MIA,1082106,BWI,833,-3,1101,-8,4.030194512
250,08/01/2018,19805,N929AA,2538,1129806,DFW,1320402,MCO,858,-2,1238,-4,4.030194512
251,08/01/2018,19805,N929AA,2538,1320402,MCO,1129806,DFW,1336,-1,1528,4,4.030194512
252,08/01/2018,19805,N934NN,2539,1330303,MIA,1072102,BOS,2022,25,2342,23,0
253,08/01/2018,19805,N9622A,2540,1387102,OMA,1129806,DFW,552,-8,741,-16,4.030194512
254,08/01/2018,19805,N942AN,2541,1393006,ORD,1169706,FLL,2004,89,2357,83,0
255,08/01/2018,19805,N971AN,2542,1072102,BOS,1289208,LAX,1621,-4,1920,-41,4.030194512
256,08/01/2018,19805,N937NN,2542,1289208,LAX,1072102,BOS,625,-5,1524,15,0
257,08/01/2018,19805,N835AN,2543,1289208,LAX,1129806,DFW,1407,-3,1943,22,0
258,08/01/2018,19805,N857NN,2546,1127805,DCA,1393006,ORD,1100,-5,1157,-24,4.030194512
259,08/01/2018,19805,N997NN,2547,1129806,DFW,1169706,FLL,2040,20,38,29,0
260,08/01/2018,19805,N908AA,2548,1477104,SFO,1330303,MIA,2123,-2,639,29,0
261,08/01/2018,19805,N908NN,2551,1226603,IAH,1129806,DFW,631,-4,732,-19,4.030194512
263,08/01/2018,19805,N883NN,2553,1105703,CLT,1348702,MSP,929,-1,1057,-10,4.030194512
264,08/01/2018,19805,N883NN,2553,1348702,MSP,1105703,CLT,1151,-3,1528,-2,4.030194512
265,08/01/2018,19805,N882NN,2554,1129806,DFW,1489302,SMF,1719,34,1906,50,0
266,08/01/2018,19805,N901AA,2555,1129806,DFW,1389101,ONT,2248,-5,2338,-8,4.030194512
